"","year","county","POP_F_TOTAL","POP_M_TOTAL","TOTAL.POP","UCR_AG_ASSLT","UCR_ARSON","UCR_BURGLARY","UCR_MURDER","UCR_MVT","UCR_RAPE","UCR_ROBBERY","UCR_THEFT","UCR_TOTAL"
"307",2006,"LEWIS",36716,36184,72900,112,22,546,0,230,25,19,1757,2711
"308",2007,"LEWIS",37309,36791,74100,139,19,562,2,182,27,31,1958,2920
"309",2008,"LEWIS",37602,37098,74700,137,22,540,1,181,34,32,1964,2911
"310",2009,"LEWIS",37847,37353,75200,113,24,512,2,148,34,20,1533,2386
"311",2010,"LEWIS",38045,37555,75600,125,12,614,6,159,22,22,1949,2909
"312",2011,"LEWIS",37966,38034,76000,122,6,494,1,123,26,22,1342,2136
"313",2012,"LEWIS",38107,38193,76300,0,0,0,0,0,0,0,0,0
"314",2013,"LEWIS",38091,38109,76200,0,0,0,0,0,0,0,0,0
"315",2014,"LEWIS",38116,38184,76300,0,0,0,0,0,0,0,0,0
"316",2010,"WAHKIAKUM",2069,2081,4150,1,0,10,0,3,1,0,18,33
"317",2000,"LINCOLN",5134,5050,10184,9,1,60,0,7,12,1,84,174
"318",2001,"LINCOLN",5141,5059,10200,4,1,57,1,11,0,2,114,190
"319",2002,"LINCOLN",5141,5059,10200,8,1,58,1,4,5,0,167,244
"320",2003,"LINCOLN",5090,5010,10100,5,0,67,0,12,3,1,147,235
"321",2004,"LINCOLN",5139,5061,10200,6,2,79,0,14,3,0,153,257
"322",2005,"LINCOLN",5088,5012,10100,8,1,56,0,17,5,0,158,245
"323",2006,"LINCOLN",5137,5063,10200,4,0,49,0,13,4,0,200,270
"324",2007,"LINCOLN",5185,5115,10300,4,0,50,0,12,3,1,180,250
"325",2008,"LINCOLN",5233,5167,10400,8,2,56,0,3,5,1,136,211
"326",2009,"LINCOLN",5256,5194,10450,16,1,56,0,8,1,0,85,167
"327",2010,"LINCOLN",5280,5220,10500,4,3,43,0,6,2,1,111,170
"328",2011,"LINCOLN",5305,5295,10600,8,2,56,0,7,1,1,106,181
"329",2012,"LINCOLN",5340,5335,10675,0,0,0,0,0,0,0,0,0
"330",2013,"LINCOLN",5346,5329,10675,0,0,0,0,0,0,0,0,0
"331",2014,"LINCOLN",5348,5352,10700,0,0,0,0,0,0,0,0,0
"332",2000,"MASON",23869,25536,49405,84,8,806,2,180,38,20,1626,2764
"333",2001,"MASON",23957,25643,49600,90,16,820,2,227,59,13,1830,3057
"334",2002,"MASON",24055,25745,49800,88,13,755,4,263,63,20,1663,2869
"335",2003,"MASON",24249,25951,50200,94,15,742,2,301,43,22,1751,2970
"336",2004,"MASON",24540,26260,50800,105,18,787,2,319,56,19,1785,3091
"337",2005,"MASON",25069,26831,51900,99,10,1081,6,408,38,22,2060,3724
"338",2006,"MASON",25644,27456,53100,89,14,795,1,335,38,31,1706,3009
"339",2007,"MASON",26362,28238,54600,133,12,711,0,312,41,35,1811,3055
"340",2008,"MASON",27177,29123,56300,135,11,805,0,230,45,16,1487,2729
"341",2009,"MASON",27415,29385,56800,136,2,732,0,261,43,17,1426,2617
"342",2010,"MASON",27561,29539,57100,108,10,690,1,322,39,39,1542,2751
"343",2011,"MASON",29492,31608,61100,130,5,823,0,250,31,13,1415,2667
"344",2012,"MASON",29731,31719,61450,0,0,0,0,0,0,0,0,0
"345",2013,"MASON",29928,31872,61800,0,0,0,0,0,0,0,0,0
"346",2014,"MASON",30026,31974,62000,0,0,0,0,0,0,0,0,0
"347",2000,"OKANOGAN",19858,19706,39564,63,7,231,2,46,12,5,661,1027
"348",2001,"OKANOGAN",19916,19784,39700,66,8,249,0,60,11,5,652,1051
"349",2002,"OKANOGAN",19956,19844,39800,65,0,213,0,41,16,5,598,938
"350",2003,"OKANOGAN",19845,19755,39600,65,10,211,0,57,24,7,629,1003
"351",2004,"OKANOGAN",19836,19764,39600,66,8,345,3,96,17,12,716,1263
"352",2005,"OKANOGAN",19823,19777,39600,80,7,344,2,52,27,6,789,1307
"353",2006,"OKANOGAN",19911,19889,39800,82,2,258,1,68,21,8,906,1346
"354",2007,"OKANOGAN",19898,19902,39800,51,11,258,0,64,19,5,719,1127
"355",2008,"OKANOGAN",20037,20063,40100,34,2,336,0,61,12,9,658,1112
"356",2009,"OKANOGAN",20227,20273,40500,36,2,260,2,57,14,7,530,908
"357",2010,"OKANOGAN",20420,20480,40900,41,3,211,1,69,9,14,522,870
"358",2011,"OKANOGAN",20397,20803,41200,74,1,204,2,47,7,8,465,808
"359",2012,"OKANOGAN",20495,20930,41425,0,0,0,0,0,0,0,0,0
"360",2013,"OKANOGAN",20546,20954,41500,0,0,0,0,0,0,0,0,0
"361",2014,"OKANOGAN",20599,21101,41700,0,0,0,0,0,0,0,0,0
"362",2000,"PACIFIC",10582,10402,20984,38,3,212,1,36,7,3,407,707
"363",2001,"PACIFIC",10586,10414,21000,47,3,228,1,34,5,1,408,727
"364",2002,"PACIFIC",10585,10415,21000,42,0,230,0,25,9,5,361,672
"365",2003,"PACIFIC",10534,10366,20900,26,1,267,1,45,9,3,498,850
"366",2004,"PACIFIC",10583,10417,21000,37,6,365,0,44,4,4,513,973
"367",2005,"PACIFIC",10731,10569,21300,35,4,307,2,64,5,4,608,1029
"368",2006,"PACIFIC",10828,10672,21500,28,2,307,1,52,7,3,466,866
"369",2007,"PACIFIC",10874,10726,21600,22,1,231,0,53,6,2,390,705
"370",2008,"PACIFIC",10971,10829,21800,42,5,241,0,32,6,2,383,711
"371",2009,"PACIFIC",10969,10831,21800,44,2,212,2,18,10,1,300,589
"372",2010,"PACIFIC",11120,10980,22100,25,5,250,0,33,6,3,363,685
"373",2011,"PACIFIC",10420,10480,20900,14,1,221,1,19,8,1,275,540
"374",2012,"PACIFIC",10421,10549,20970,0,0,0,0,0,0,0,0,0
"375",2013,"PACIFIC",10430,10570,21000,0,0,0,0,0,0,0,0,0
"376",2014,"PACIFIC",10465,10635,21100,0,0,0,0,0,0,0,0,0
"377",2011,"WAHKIAKUM",1990,2010,4000,6,1,3,0,0,0,0,9,19
"378",2000,"PEND OREILLE",5851,5881,11732,9,1,118,0,19,5,2,249,403
"379",2001,"PEND OREILLE",5879,5921,11800,27,0,103,1,35,6,2,299,473
"380",2002,"PEND OREILLE",5873,5927,11800,14,2,119,0,20,3,4,245,407
"381",2003,"PEND OREILLE",5868,5932,11800,24,1,105,1,39,2,1,309,482
"382",2004,"PEND OREILLE",5912,5988,11900,14,0,172,0,31,3,0,282,502
"383",2005,"PEND OREILLE",6056,6144,12200,14,2,148,0,38,3,1,358,564
"384",2006,"PEND OREILLE",6101,6199,12300,4,2,147,1,29,2,0,325,510
"385",2007,"PEND OREILLE",6244,6356,12600,3,0,93,1,26,1,1,294,419
"386",2008,"PEND OREILLE",6338,6462,12800,4,0,107,0,30,1,2,257,401
"387",2009,"PEND OREILLE",6383,6517,12900,4,1,82,0,21,1,0,234,343
"388",2010,"PEND OREILLE",6476,6624,13100,16,2,140,0,39,0,0,243,440
"389",2011,"PEND OREILLE",6403,6597,13000,16,0,133,0,26,1,0,252,428
"390",2012,"PEND OREILLE",6464,6636,13100,0,0,0,0,0,0,0,0,0
"391",2013,"PEND OREILLE",6496,6654,13150,0,0,0,0,0,0,0,0,0
"392",2014,"PEND OREILLE",6514,6696,13210,0,0,0,0,0,0,0,0,0
"393",2000,"PIERCE",352263,348557,700820,2965,307,8276,33,6166,341,1205,27476,46769
"394",2001,"PIERCE",358513,354887,713400,2218,243,7230,33,6488,333,1199,25270,43014
"395",2002,"PIERCE",364294,360704,724998,2475,282,7541,29,6358,402,1098,26427,44612
"396",2003,"PIERCE",368647,365053,733700,2643,231,7610,27,5944,344,1165,24253,42217
"397",2004,"PIERCE",373779,370221,744000,2435,234,8130,26,6365,385,1185,24006,42766
"398",2005,"PIERCE",379689,376211,755900,2607,237,8348,28,7410,331,1121,24022,44104
"399",2006,"PIERCE",388418,385082,773500,2642,268,8414,35,7087,353,1174,23276,43249
"400",2007,"PIERCE",396882,393618,790500,2692,251,7274,29,6542,297,1087,21343,39515
"401",2008,"PIERCE",404320,401080,805400,2700,228,7266,30,5359,371,1101,22461,39516
"402",2009,"PIERCE",408432,405168,813600,2589,170,7846,33,3788,339,1227,22767,38759
"403",2010,"PIERCE",408970,405630,814600,2333,167,7944,26,4100,317,1075,19484,35446
"404",2011,"PIERCE",405776,396374,802150,2114,177,7711,23,4088,296,906,19150,34465
"405",2012,"PIERCE",408993,399207,808200,45,2,209,0,117,5,15,566,959
"406",2013,"PIERCE",412199,402301,814500,0,0,0,0,0,0,0,0,0
"407",2014,"PIERCE",415657,405643,821300,0,0,0,0,0,0,0,0,0
"408",2000,"SAN JUAN",7217,6860,14077,6,1,64,0,12,0,0,144,227
"409",2001,"SAN JUAN",7380,7020,14400,4,0,73,0,15,0,1,151,244
"410",2002,"SAN JUAN",7477,7123,14600,7,3,45,1,7,0,0,154,217
"411",2003,"SAN JUAN",7574,7226,14800,6,1,74,0,13,4,0,135,233
"412",2012,"SAN JUAN",8186,7739,15925,0,0,0,0,0,0,0,0,0
"413",2004,"SAN JUAN",7722,7378,15100,5,1,54,0,16,1,1,164,242
"414",2005,"SAN JUAN",7920,7580,15500,6,2,103,0,22,3,0,161,297
"415",2006,"SAN JUAN",8016,7684,15700,4,0,64,0,23,3,2,161,257
"416",2007,"SAN JUAN",8109,7791,15900,6,2,60,0,24,2,1,136,231
"417",2008,"SAN JUAN",8202,7898,16100,6,1,86,1,18,0,0,152,264
"418",2009,"SAN JUAN",8295,8005,16300,7,1,90,0,14,2,0,166,280
"419",2010,"SAN JUAN",8389,8111,16500,10,5,66,0,12,4,0,105,202
"420",2011,"SAN JUAN",8168,7732,15900,17,4,52,1,14,1,0,111,200
"421",2013,"SAN JUAN",8227,7773,16000,0,0,0,0,0,0,0,0,0
"422",2014,"SAN JUAN",8282,7818,16100,0,0,0,0,0,0,0,0,0
"423",2000,"SKAGIT",51997,50982,102979,62,32,998,4,317,36,39,4615,6103
"424",2001,"SKAGIT",52545,51555,104100,75,34,1007,3,328,51,43,4940,6481
"425",2002,"SKAGIT",53040,52060,105100,93,34,1105,4,407,61,39,5018,6761
"426",2003,"SKAGIT",53840,52860,106700,105,46,1367,1,424,74,47,5153,7217
"427",2004,"SKAGIT",54892,53908,108800,150,38,1288,2,464,67,62,5721,7792
"428",2005,"SKAGIT",55933,54967,110900,126,56,1592,3,587,60,52,6229,8705
"429",2006,"SKAGIT",57022,56078,113100,126,68,1150,2,529,71,60,5010,7016
"430",2007,"SKAGIT",58109,57191,115300,117,35,1183,2,480,42,67,4918,6844
"431",2008,"SKAGIT",59200,58300,117500,129,44,1069,9,342,50,55,3939,5637
"432",2009,"SKAGIT",59894,59006,118900,123,42,1012,3,266,51,54,4191,5742
"433",2010,"SKAGIT",60090,59210,119300,148,30,1144,0,215,50,54,4605,6246
"434",2011,"SKAGIT",59162,58238,117400,125,24,1180,4,256,47,64,3750,5450
"435",2012,"SKAGIT",59505,58445,117950,0,0,0,0,0,0,0,0,0
"436",2013,"SKAGIT",59833,58767,118600,0,0,0,0,0,0,0,0,0
"437",2014,"SKAGIT",60275,59225,119500,0,0,0,0,0,0,0,0,0
"438",2000,"SKAMANIA",4905,4967,9872,6,1,65,0,23,2,1,169,267
"439",2001,"SKAMANIA",4917,4983,9900,12,1,62,0,17,2,0,196,290
"440",2002,"SKAMANIA",4915,4985,9900,7,0,68,1,15,2,2,251,346
"441",2003,"SKAMANIA",4913,4987,9900,11,1,66,0,18,4,0,255,355
"442",2004,"SKAMANIA",5011,5089,10100,3,0,72,3,29,7,0,276,390
"443",2005,"SKAMANIA",5108,5192,10300,12,1,72,1,16,4,2,225,333
"444",2006,"SKAMANIA",5255,5345,10600,5,1,78,0,29,5,0,235,353
"445",2007,"SKAMANIA",5302,5398,10700,18,1,54,0,15,8,2,197,295
"446",2008,"SKAMANIA",5300,5400,10700,7,0,57,0,19,3,1,137,224
"447",2009,"SKAMANIA",5348,5452,10800,11,3,50,1,23,10,1,144,243
"448",2010,"SKAMANIA",5396,5504,10900,8,0,45,0,20,2,0,157,232
"449",2011,"SKAMANIA",5539,5611,11150,8,0,52,0,11,2,0,151,224
"450",2012,"SKAMANIA",5592,5683,11275,0,0,0,0,0,0,0,0,0
"451",2013,"SKAMANIA",5606,5694,11300,0,0,0,0,0,0,0,0,0
"452",2014,"SKAMANIA",5649,5721,11370,0,0,0,0,0,0,0,0,0
"453",2000,"SNOHOMISH",302815,303209,606024,682,158,3850,10,3150,422,322,12244,20838
"454",2001,"SNOHOMISH",309023,309577,618600,798,154,3932,12,4243,344,428,14448,24359
"455",2002,"SNOHOMISH",313678,314322,628000,789,170,3733,11,4720,291,400,13989,24103
"456",2003,"SNOHOMISH",318416,319084,637500,846,187,4114,12,4403,288,372,13884,24106
"457",2004,"SNOHOMISH",322030,322770,644800,885,204,4989,18,4825,272,417,14281,25891
"458",2005,"SNOHOMISH",327473,328327,655800,830,156,5193,14,6446,249,407,15842,29137
"459",2006,"SNOHOMISH",335384,336416,671800,770,158,4678,14,6148,225,487,15889,28369
"460",2007,"SNOHOMISH",342569,343731,686300,785,154,5001,17,4973,278,498,15497,27203
"461",2008,"SNOHOMISH",347696,348904,696600,857,136,4289,7,2874,230,488,13754,22635
"462",2009,"SNOHOMISH",351542,352758,704300,919,144,4834,17,2238,198,588,14894,23832
"463",2010,"SNOHOMISH",354964,356136,711100,895,121,4298,11,2762,237,447,15352,24123
"464",2011,"SNOHOMISH",358198,358802,717000,707,109,4023,10,2078,153,327,13752,21159
"465",2012,"SNOHOMISH",360777,362123,722900,565,84,3392,7,1817,103,341,10329,16638
"466",2013,"SNOHOMISH",364381,366119,730500,677,76,4437,6,2778,128,387,13014,21503
"467",2014,"SNOHOMISH",369695,371305,741000,659,76,4734,10,3096,151,338,14555,23619
"468",2000,"SPOKANE",212801,205138,417939,1141,146,4676,12,1917,119,475,16719,25205
"469",2001,"SPOKANE",215045,207355,422400,1204,107,4926,10,2522,134,571,17057,26531
"470",2002,"SPOKANE",216676,208924,425600,1117,131,4336,20,2447,146,481,15775,24453
"471",2003,"SPOKANE",218208,210392,428600,1026,144,4677,16,2247,141,459,16850,25560
"472",2004,"SPOKANE",219934,212066,432000,1119,100,5323,16,2680,147,380,19020,28785
"473",2005,"SPOKANE",222100,214200,436300,1265,144,3952,16,2697,134,362,12660,21230
"474",2006,"SPOKANE",225859,217941,443800,1185,116,3547,17,3290,130,468,11590,20343
"475",2007,"SPOKANE",229581,221619,451200,1352,127,3343,14,2742,119,496,11082,19275
"476",2008,"SPOKANE",233512,225488,459000,1203,101,3654,19,2231,136,559,11707,19610
"477",2009,"SPOKANE",236550,228450,465000,1107,101,4064,10,2260,116,538,13730,21926
"478",2010,"SPOKANE",239253,231047,470300,950,59,5022,12,2818,147,526,15960,25494
"479",2011,"SPOKANE",239225,233425,472650,927,106,5254,7,2566,128,582,16771,26341
"480",2012,"SPOKANE",240329,235271,475600,921,100,5962,17,2856,131,639,18489,29115
"481",2013,"SPOKANE",242482,237518,480000,953,80,5813,16,3154,154,640,19665,30475
"482",2014,"SPOKANE",244584,239916,484500,884,95,5336,14,3043,190,537,18640,28739
"483",2000,"STATE",2959821,2934300,5894121,12891,2155,52422,193,34404,2659,5739,187964,298427
"484",2001,"STATE",2999785,2975115,5974900,12380,2083,52230,177,38444,2586,5864,192070,305834
"485",2002,"STATE",3032934,3008776,6041710,12079,2082,53885,183,39773,2674,5720,189510,305906
"486",2003,"STATE",3061091,3037209,6098300,12412,2143,57616,182,40351,2778,5700,190835,312023
"487",2004,"STATE",3095563,3072237,6167800,12227,2144,59985,189,43070,2828,5849,195546,321838
"488",2005,"STATE",3139377,3117023,6256400,12879,2051,60099,204,49151,2772,5774,197020,329950
"489",2006,"STATE",3198249,3177351,6375600,12628,2079,57338,188,44967,2672,6354,180121,306347
"490",2007,"STATE",3253804,3234196,6488000,12658,1877,51863,177,36932,2556,6018,168457,280538
"491",2008,"STATE",3303082,3284518,6587600,12228,1565,51385,187,27730,2578,6206,162276,264155
"492",2009,"STATE",3343103,3325097,6668200,12576,1560,52379,186,23277,2495,6662,167152,266287
"493",2010,"STATE",3375574,3357676,6733250,12070,1315,54421,154,25282,2499,5876,166485,268102
"494",2011,"STATE",3396249,3371651,6767900,11647,1263,54833,159,24114,2217,5545,159218,258996
"495",2012,"STATE",3420988,3396782,6817770,2900,360,18311,57,8584,657,1799,49449,82117
"496",2013,"STATE",3453072,3429328,6882400,2215,283,15609,31,8224,526,1394,43944,72226
"497",2014,"STATE",3495753,3472417,6968170,2090,298,14747,36,8552,570,1283,44091,71667
"498",2000,"STEVENS",20126,19940,40066,19,3,234,7,31,5,1,761,1061
"499",2001,"STEVENS",20233,20067,40300,11,1,237,1,48,8,1,639,946
"500",2002,"STEVENS",20275,20125,40400,13,1,224,2,61,3,4,671,979
"501",2003,"STEVENS",20367,20233,40600,62,2,346,6,70,14,4,731,1235
"502",2004,"STEVENS",20408,20292,40700,12,5,317,1,77,24,3,768,1207
"503",2005,"STEVENS",20647,20553,41200,29,2,404,1,87,17,9,789,1338
"504",2006,"STEVENS",21087,21013,42100,33,1,395,1,112,15,8,577,1142
"505",2007,"STEVENS",21524,21476,43000,27,2,305,1,82,12,4,675,1108
"506",2008,"STEVENS",21862,21838,43700,20,3,304,1,67,18,7,651,1071
"507",2009,"STEVENS",22001,21999,44000,33,2,287,1,78,20,6,604,1031
"508",2010,"STEVENS",22140,22160,44300,27,1,405,0,105,20,8,633,1199
"509",2011,"STEVENS",21772,21828,43600,23,0,262,2,66,7,5,534,899
"510",2012,"STEVENS",21871,21829,43700,0,0,0,0,0,0,0,0,0
"511",2013,"STEVENS",21913,21887,43800,0,0,0,0,0,0,0,0,0
"512",2014,"STEVENS",22003,21897,43900,0,0,0,0,0,0,0,0,0
"513",2000,"THURSTON",105812,101543,207355,332,68,1922,2,547,117,106,5481,8575
"514",2001,"THURSTON",107237,102963,210200,375,65,1823,6,667,94,100,5897,9027
"515",2002,"THURSTON",108285,104015,212300,386,55,1770,2,621,127,111,5884,8956
"516",2003,"THURSTON",109541,105259,214800,375,52,1658,4,594,108,91,5191,8073
"517",2004,"THURSTON",111405,107095,218500,408,51,1790,8,638,87,89,5838,8909
"518",2005,"THURSTON",114222,109878,224100,428,46,1793,2,814,65,101,5983,9232
"519",2006,"THURSTON",117740,113360,231100,405,36,1686,4,684,75,112,5426,8428
"520",2007,"THURSTON",121204,116796,238000,340,42,1530,7,747,68,88,5082,7904
"521",2008,"THURSTON",124873,120427,245300,428,36,1722,4,471,86,112,6119,8978
"522",2009,"THURSTON",127128,122672,249800,402,47,1634,5,527,99,110,5276,8100
"523",2010,"THURSTON",128430,123970,252400,455,41,2052,4,428,86,86,5649,8801
"524",2011,"THURSTON",130251,123849,254100,402,31,1858,4,363,66,83,4763,7570
"525",2012,"THURSTON",131574,125226,256800,146,5,883,9,222,59,60,3293,4677
"526",2013,"THURSTON",133282,126818,260100,0,0,0,0,0,0,0,0,0
"527",2014,"THURSTON",135289,128711,264000,0,0,0,0,0,0,0,0,0
"528",2000,"WAHKIAKUM",1911,1913,3824,1,0,21,0,0,0,0,48,70
"529",2001,"WAHKIAKUM",1898,1902,3800,1,1,7,0,0,2,0,40,51
"530",2002,"WAHKIAKUM",1898,1902,3800,3,1,1,1,3,0,0,36,45
"531",2003,"WAHKIAKUM",1898,1902,3800,3,0,32,0,6,0,0,41,82
"532",2004,"WAHKIAKUM",1898,1902,3800,5,0,25,0,4,3,0,44,81
"533",2005,"WAHKIAKUM",1947,1953,3900,7,0,16,0,7,1,0,20,51
"534",2006,"WAHKIAKUM",1947,1953,3900,7,0,16,0,5,1,0,17,46
"535",2007,"WAHKIAKUM",1996,2004,4000,7,0,19,0,7,2,0,21,56
"536",2008,"WAHKIAKUM",2046,2054,4100,5,0,19,0,3,0,1,28,56
"537",2009,"WAHKIAKUM",2045,2055,4100,7,2,7,0,1,1,0,7,25
"538",2012,"WAHKIAKUM",2007,2018,4025,0,0,0,0,0,0,0,0,0
"539",2013,"WAHKIAKUM",2012,2008,4020,0,0,0,0,0,0,0,0,0
"540",2014,"WAHKIAKUM",2005,2005,4010,0,0,0,0,0,0,0,0,0
"541",2007,"WHITMAN",21058,21642,42700,22,9,176,0,31,22,6,568,834
"542",2000,"WALLA WALLA",27079,28101,55180,142,6,422,0,122,51,26,1691,2460
"543",2001,"WALLA WALLA",27089,28111,55200,118,2,448,2,117,50,22,1811,2570
"544",2002,"WALLA WALLA",27189,28211,55400,96,4,396,0,89,57,22,1662,2326
"545",2003,"WALLA WALLA",27387,28413,55800,95,30,450,0,113,39,23,1772,2522
"546",2004,"WALLA WALLA",27831,28869,56700,101,21,351,0,139,44,21,1520,2197
"547",2005,"WALLA WALLA",28224,29276,57500,103,12,337,0,105,57,14,1484,2112
"548",2006,"WALLA WALLA",28410,29490,57900,104,7,323,1,86,45,14,1534,2114
"549",2007,"WALLA WALLA",28606,29694,58300,85,21,413,0,100,39,13,1671,2342
"550",2008,"WALLA WALLA",28757,29843,58600,98,11,375,1,97,36,13,1465,2096
"551",2009,"WALLA WALLA",29059,30141,59200,74,11,508,0,74,45,17,1500,2229
"552",2010,"WALLA WALLA",29266,30334,59600,94,6,375,1,79,31,26,1369,1981
"553",2011,"WALLA WALLA",28954,29846,58800,109,15,362,3,65,33,23,1509,2119
"554",2012,"WALLA WALLA",29081,30019,59100,0,0,0,0,0,0,0,0,0
"555",2013,"WALLA WALLA",29382,30118,59500,0,0,0,0,0,0,0,0,0
"556",2014,"WALLA WALLA",29719,30431,60150,0,0,0,0,0,0,0,0,0
"557",2000,"WHATCOM",84626,82188,166814,213,28,1525,5,395,81,73,5395,7715
"558",2001,"WHATCOM",86534,84066,170600,220,32,1461,1,460,87,77,6420,8758
"559",2002,"WHATCOM",87328,84872,172200,220,47,1672,4,536,98,89,6293,8959
"560",2003,"WHATCOM",88471,86029,174500,225,60,1951,3,506,108,83,6238,9180
"561",2004,"WHATCOM",89873,87427,177300,247,51,1785,4,640,90,96,6985,9898
"562",2005,"WHATCOM",91621,89179,180800,260,56,1754,5,596,72,82,7174,9999
"563",2006,"WHATCOM",93358,90942,184300,257,41,1818,1,518,76,98,6504,9313
"564",2007,"WHATCOM",95355,92945,188300,269,55,1498,2,436,87,81,6232,8660
"565",2008,"WHATCOM",96686,94314,191000,285,44,1458,2,374,71,87,5361,7682
"566",2009,"WHATCOM",97717,95383,193100,270,34,1401,8,266,76,90,5330,7475
"567",2010,"WHATCOM",98900,96600,195500,344,11,1426,5,266,90,104,4973,7219
"568",2011,"WHATCOM",101969,100131,202100,275,25,1436,3,229,97,74,4708,6847
"569",2012,"WHATCOM",102608,100892,203500,282,11,411,1,67,38,7,648,1465
"570",2013,"WHATCOM",103658,102142,205800,115,10,417,0,85,30,12,828,1497
"571",2014,"WHATCOM",104555,103045,207600,0,0,0,0,0,0,0,0,0
"572",2000,"WHITMAN",20123,20617,40740,38,10,223,0,34,21,5,665,996
"573",2001,"WHITMAN",19909,20391,40300,28,19,212,0,31,32,7,741,1070
"574",2002,"WHITMAN",20054,20546,40600,48,7,256,0,45,15,8,881,1260
"575",2003,"WHITMAN",20239,20761,41000,28,11,257,0,39,25,4,798,1162
"576",2004,"WHITMAN",20580,21120,41700,27,24,212,0,59,16,6,706,1050
"577",2005,"WHITMAN",20921,21479,42400,32,8,167,3,33,20,4,568,835
"578",2006,"WHITMAN",21107,21693,42800,40,11,156,0,29,19,3,621,879
"579",2008,"WHITMAN",21202,21798,43000,21,10,176,0,20,10,2,455,694
"580",2009,"WHITMAN",21348,21952,43300,36,7,133,0,25,14,3,508,726
"581",2010,"WHITMAN",21489,22111,43600,31,3,264,1,35,17,12,605,968
"582",2011,"WHITMAN",21979,22821,44800,36,9,154,0,23,10,3,562,797
"583",2012,"WHITMAN",22671,23279,45950,0,0,0,0,0,0,0,0,0
"584",2013,"WHITMAN",22665,23335,46000,0,0,0,0,0,0,0,0,0
"585",2014,"WHITMAN",22887,23613,46500,0,0,0,0,0,0,0,0,0
"586",2000,"YAKIMA",111491,111090,222581,368,110,3052,14,1210,96,171,8586,13607
"587",2001,"YAKIMA",112430,112070,224500,320,116,3194,10,1126,109,163,8250,13288
"588",2002,"YAKIMA",112674,112326,225000,315,143,3487,10,1364,121,175,8847,14462
"589",2003,"YAKIMA",113180,112820,226000,372,170,3418,10,1365,137,194,8947,14613
"590",2004,"YAKIMA",113933,113567,227500,366,152,3109,10,1483,122,181,9218,14641
"591",2005,"YAKIMA",114828,114472,229300,390,158,3824,22,2176,129,218,10179,17096
"592",2006,"YAKIMA",116058,115742,231800,387,117,3518,10,2176,126,233,9280,15847
"593",2007,"YAKIMA",117246,116954,234200,535,154,3063,15,1871,136,212,7629,13615
"594",2008,"YAKIMA",118093,117807,235900,417,124,3057,19,1814,100,244,7344,13119
"595",2009,"YAKIMA",119350,119050,238400,457,93,3193,22,1505,120,230,6160,11780
"596",2010,"YAKIMA",119716,119384,239100,465,82,3354,24,1218,108,233,6560,12044
"597",2011,"YAKIMA",122280,122420,244700,449,80,3351,16,1264,107,236,5801,11304
"598",2012,"YAKIMA",123199,122801,246000,0,0,0,0,0,0,0,0,0
"599",2013,"YAKIMA",124171,123079,247250,0,0,0,0,0,0,0,0,0
"600",2014,"YAKIMA",125028,123772,248800,0,0,0,0,0,0,0,0,0
